segment_id	segment_order	segment_text	search_query	suggested_insert_text	citation_marker	support_grade	title	journal	family	year	doi	doi_url	authors	score	screening_note
S006	6	Phase filtering and parallel subnetwork structures improve misalignment tolerance in diffractive deep neural networks	Phase filtering and parallel subnetwork structures improve misalignment tolerance in diffractive deep neural networks	(Zarei et al., 2025) (Goi et al., 2022)	(Hoshi et al., 2025)	metadata-only candidate	Wavefront-aberration-tolerant diffractive deep neural networks using volume holographic optical elements	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-024-82791-z	https://doi.org/10.1038/s41598-024-82791-z	Hoshi, Ikuo; Wakunami, Koki; Ichihashi, Yasuyuki; Oi, Ryutaro	26.421715	Inspect abstract/publisher page before citing this paper as support.
S007	7	Heterogeneous diffractive neuron sizes provide structural robustness without perturbation training	Heterogeneous diffractive neuron sizes provide structural robustness without perturbation training	(Abdelhaliem et al., 2026) (Santra et al., 2018)	(Abdelhaliem et al., 2026)	metadata-only candidate	Causal-aware training with counterfactual supervision and structural causal models improves the robustness of LLM-based vulnerability detection	Scientific Reports	Nature Portfolio	2026	10.1038/s41598-026-69332-6	https://doi.org/10.1038/s41598-026-69332-6	Abdelhaliem, Amr H.; Alomari, Tariq; Tawfik, Mohammed; Fathi, Islam S.	18.557472	Inspect abstract/publisher page before citing this paper as support.
S007	7	Heterogeneous diffractive neuron sizes provide structural robustness without perturbation training	Heterogeneous diffractive neuron sizes provide structural robustness without perturbation training	(Abdelhaliem et al., 2026) (Santra et al., 2018)	(Santra et al., 2018)	metadata-only candidate	Fitting mathematical models of biochemical pathways to steady state perturbation response data without simulating perturbation experiments	Scientific Reports	Nature Portfolio	2018	10.1038/s41598-018-30118-0	https://doi.org/10.1038/s41598-018-30118-0	Santra, Tapesh	18.246925	Inspect abstract/publisher page before citing this paper as support.
S007	7	Heterogeneous diffractive neuron sizes provide structural robustness without perturbation training	Heterogeneous diffractive neuron sizes provide structural robustness without perturbation training	(Abdelhaliem et al., 2026) (Santra et al., 2018)	(Alahmari et al., 2025)	metadata-only candidate	Large language models robustness against perturbation	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-025-29770-0	https://doi.org/10.1038/s41598-025-29770-0	Alahmari, Saeed S.; Hall, Lawrence; Mouton, Peter R.; Goldgof, Dmitry	18.175735	Inspect abstract/publisher page before citing this paper as support.
S008	8	Sharpness-aware training improves deployment stability of physical neural networks without a fixed error distribution prior	Sharpness-aware training improves deployment stability of physical neural networks without a fixed error distribution prior	(Xu et al., 2026) (Liu et al., 2025)	(Xu et al., 2026)	metadata-only candidate	Physical neural networks using sharpness-aware training	Nature Communications	Nature Portfolio	2026	10.1038/s41467-026-68470-9	https://doi.org/10.1038/s41467-026-68470-9	Xu, Tengji; Luo, Zeyu; Liu, Shaojie; Fan, Li; Xiao, Qiarong; Wang, Benshan; Wang, Dongliang; Huang, Chaoran	39.063835	Inspect abstract/publisher page before citing this paper as support.
S008	8	Sharpness-aware training improves deployment stability of physical neural networks without a fixed error distribution prior	Sharpness-aware training improves deployment stability of physical neural networks without a fixed error distribution prior	(Xu et al., 2026) (Liu et al., 2025)	(Liu et al., 2025)	metadata-only candidate	Error-aware probabilistic training for memristive neural networks	Nature Communications	Nature Portfolio	2025	10.1038/s41467-025-66240-7	https://doi.org/10.1038/s41467-025-66240-7	Liu, Jinchang; Lu, Jian; Tang, Shuangzhu; Zhou, Ruixi; Ma, Huiqin; Lyu, Bo; Tian, Yang; Shi, Tuo; Liu, Qi	28.969885	Inspect abstract/publisher page before citing this paper as support.
S009	9	Learned electronic backends can replace fixed detector decisions in diffractive optical neural networks	Learned electronic backends can replace fixed detector decisions in diffractive optical neural networks	(Chang et al., 2018) (Zarei et al., 2022)	(Chang et al., 2018)	metadata-only candidate	Hybrid optical-electronic convolutional neural networks with optimized diffractive optics for image classification	Scientific Reports	Nature Portfolio	2018	10.1038/s41598-018-30619-y	https://doi.org/10.1038/s41598-018-30619-y	Chang, Julie; Sitzmann, Vincent; Dun, Xiong; Heidrich, Wolfgang; Wetzstein, Gordon	29.952686	Inspect abstract/publisher page before citing this paper as support.
S009	9	Learned electronic backends can replace fixed detector decisions in diffractive optical neural networks	Learned electronic backends can replace fixed detector decisions in diffractive optical neural networks	(Chang et al., 2018) (Zarei et al., 2022)	(Zarei et al., 2022)	metadata-only candidate	Realization of optical logic gates using on-chip diffractive optical neural networks	Scientific Reports	Nature Portfolio	2022	10.1038/s41598-022-19973-0	https://doi.org/10.1038/s41598-022-19973-0	Zarei, Sanaz; Khavasi, Amin	29.4973	Inspect abstract/publisher page before citing this paper as support.
S009	9	Learned electronic backends can replace fixed detector decisions in diffractive optical neural networks	Learned electronic backends can replace fixed detector decisions in diffractive optical neural networks	(Chang et al., 2018) (Zarei et al., 2022)	(Hoshi et al., 2025)	metadata-only candidate	Wavefront-aberration-tolerant diffractive deep neural networks using volume holographic optical elements	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-024-82791-z	https://doi.org/10.1038/s41598-024-82791-z	Hoshi, Ikuo; Wakunami, Koki; Ichihashi, Yasuyuki; Oi, Ryutaro	26.11142	Inspect abstract/publisher page before citing this paper as support.
S010	10	Optimized diffractive optical elements can implement the first convolutional layer of a hybrid optical-electronic classifier	Optimized diffractive optical elements can implement the first convolutional layer of a hybrid optical-electronic classifier	(Chang et al., 2018) (Zhang et al., 2024)	(Chang et al., 2018)	metadata-only candidate	Hybrid optical-electronic convolutional neural networks with optimized diffractive optics for image classification	Scientific Reports	Nature Portfolio	2018	10.1038/s41598-018-30619-y	https://doi.org/10.1038/s41598-018-30619-y	Chang, Julie; Sitzmann, Vincent; Dun, Xiong; Heidrich, Wolfgang; Wetzstein, Gordon	45.06731	Inspect abstract/publisher page before citing this paper as support.
S010	10	Optimized diffractive optical elements can implement the first convolutional layer of a hybrid optical-electronic classifier	Optimized diffractive optical elements can implement the first convolutional layer of a hybrid optical-electronic classifier	(Chang et al., 2018) (Zhang et al., 2024)	(Zhang et al., 2024)	metadata-only candidate	Design of waveguide with double layer diffractive optical elements for augmented reality displays	Scientific Reports	Nature Portfolio	2024	10.1038/s41598-024-75766-7	https://doi.org/10.1038/s41598-024-75766-7	Zhang, Jiahang; Liu, Siqi; Zhang, Wei; Jiang, Sijia; Ma, Ding; Xu, Liang; Yang, Mingyu; Jiao, Qingbin; Tan, Xin	29.569138	Inspect abstract/publisher page before citing this paper as support.
S011	11	Reconfigurable diffractive processing units enable programmable and shared optoelectronic computing front ends	Reconfigurable diffractive processing units enable programmable and shared optoelectronic computing front ends	(Zhou et al., 2021) (Zhang et al., 2018)	(Zhou et al., 2021)	metadata-only candidate	Large-scale neuromorphic optoelectronic computing with a reconfigurable diffractive processing unit	Nature Photonics	Nature Portfolio	2021	10.1038/s41566-021-00796-w	https://doi.org/10.1038/s41566-021-00796-w	Zhou, Tiankuang; Lin, Xing; Wu, Jiamin; Chen, Yitong; Xie, Hao; Li, Yipeng; Fan, Jingtao; Wu, Huaqiang; Fang, Lu; Dai, Qionghai	31.33679	Inspect abstract/publisher page before citing this paper as support.
S011	11	Reconfigurable diffractive processing units enable programmable and shared optoelectronic computing front ends	Reconfigurable diffractive processing units enable programmable and shared optoelectronic computing front ends	(Zhou et al., 2021) (Zhang et al., 2018)	(Zhang et al., 2018)	metadata-only candidate	A fully reconfigurable waveguide Bragg grating for programmable photonic signal processing	Nature Communications	Nature Portfolio	2018	10.1038/s41467-018-03738-3	https://doi.org/10.1038/s41467-018-03738-3	Zhang, Weifeng; Yao, Jianping	23.89346	Inspect abstract/publisher page before citing this paper as support.
S011	11	Reconfigurable diffractive processing units enable programmable and shared optoelectronic computing front ends	Reconfigurable diffractive processing units enable programmable and shared optoelectronic computing front ends	(Zhou et al., 2021) (Zhang et al., 2018)	(Feng et al., 2026)	metadata-only candidate	Multi-mode optoelectronic devices enable compact and versatile in-sensor computing	Nature Sensors	Nature Portfolio	2026	10.1038/s44460-026-00083-7	https://doi.org/10.1038/s44460-026-00083-7	Feng, Guangdi; Tian, Bobo	23.633081	Inspect abstract/publisher page before citing this paper as support.
S012	12	Phase-limited quantization-aware training directly optimizes diffractive neural networks for discrete phase levels	Phase-limited quantization-aware training directly optimizes diffractive neural networks for discrete phase levels			no candidate									No in-scope candidate found in Crossref metadata search.
S013	13	Spatial coherence is a limiting modeling assumption for coherently simulated diffractive optical neural networks	Spatial coherence is a limiting modeling assumption for coherently simulated diffractive optical neural networks	(Zarei et al., 2022) (Hoshi et al., 2025)	(Zarei et al., 2022)	metadata-only candidate	Realization of optical logic gates using on-chip diffractive optical neural networks	Scientific Reports	Nature Portfolio	2022	10.1038/s41598-022-19973-0	https://doi.org/10.1038/s41598-022-19973-0	Zarei, Sanaz; Khavasi, Amin	29.504217	Inspect abstract/publisher page before citing this paper as support.
S013	13	Spatial coherence is a limiting modeling assumption for coherently simulated diffractive optical neural networks	Spatial coherence is a limiting modeling assumption for coherently simulated diffractive optical neural networks	(Zarei et al., 2022) (Hoshi et al., 2025)	(Hoshi et al., 2025)	metadata-only candidate	Wavefront-aberration-tolerant diffractive deep neural networks using volume holographic optical elements	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-024-82791-z	https://doi.org/10.1038/s41598-024-82791-z	Hoshi, Ikuo; Wakunami, Koki; Ichihashi, Yasuyuki; Oi, Ryutaro	26.111446	Inspect abstract/publisher page before citing this paper as support.
S013	13	Spatial coherence is a limiting modeling assumption for coherently simulated diffractive optical neural networks	Spatial coherence is a limiting modeling assumption for coherently simulated diffractive optical neural networks	(Zarei et al., 2022) (Hoshi et al., 2025)	(Chang et al., 2018)	metadata-only candidate	Hybrid optical-electronic convolutional neural networks with optimized diffractive optics for image classification	Scientific Reports	Nature Portfolio	2018	10.1038/s41598-018-30619-y	https://doi.org/10.1038/s41598-018-30619-y	Chang, Julie; Sitzmann, Vincent; Dun, Xiong; Heidrich, Wolfgang; Wetzstein, Gordon	25.119802	Inspect abstract/publisher page before citing this paper as support.
S014	14	Fully coherent scalar diffraction propagation is only one modeling boundary and not a universal physical condition	Fully coherent scalar diffraction propagation is only one modeling boundary and not a universal physical condition			no candidate									No in-scope candidate found in Crossref metadata search.
S015	15	Normalized cutoff frequency provides a robustness criterion for diffractive deep neural networks	Normalized cutoff frequency provides a robustness criterion for diffractive deep neural networks	(Zarei et al., 2025) (Goi et al., 2022)	(Zarei et al., 2025)	metadata-only candidate	Programmable diffractive deep neural networks enabled by integrated rewritable metasurfaces	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-025-19638-8	https://doi.org/10.1038/s41598-025-19638-8	Zarei, Sanaz	29.491848	Inspect abstract/publisher page before citing this paper as support.
S015	15	Normalized cutoff frequency provides a robustness criterion for diffractive deep neural networks	Normalized cutoff frequency provides a robustness criterion for diffractive deep neural networks	(Zarei et al., 2025) (Goi et al., 2022)	(Goi et al., 2022)	metadata-only candidate	Direct retrieval of Zernike-based pupil functions using integrated diffractive deep neural networks	Nature Communications	Nature Portfolio	2022	10.1038/s41467-022-35349-4	https://doi.org/10.1038/s41467-022-35349-4	Goi, Elena; Schoenhardt, Steffen; Gu, Min	26.738108	Inspect abstract/publisher page before citing this paper as support.
S015	15	Normalized cutoff frequency provides a robustness criterion for diffractive deep neural networks	Normalized cutoff frequency provides a robustness criterion for diffractive deep neural networks	(Zarei et al., 2025) (Goi et al., 2022)	(Hoshi et al., 2025)	metadata-only candidate	Wavefront-aberration-tolerant diffractive deep neural networks using volume holographic optical elements	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-024-82791-z	https://doi.org/10.1038/s41598-024-82791-z	Hoshi, Ikuo; Wakunami, Koki; Ichihashi, Yasuyuki; Oi, Ryutaro	26.421741	Inspect abstract/publisher page before citing this paper as support.
S016	16	Optical neural networks using less than one photon per multiplication demonstrate low-light optical inference	Optical neural networks using less than one photon per multiplication demonstrate low-light optical inference	(Wang et al., 2022) (Zarei et al., 2022)	(Wang et al., 2022)	metadata-only candidate	An optical neural network using less than 1 photon per multiplication	Nature Communications	Nature Portfolio	2022	10.1038/s41467-021-27774-8	https://doi.org/10.1038/s41467-021-27774-8	Wang, Tianyu; Ma, Shi-Yuan; Wright, Logan G.; Onodera, Tatsuhiro; Richard, Brian C.; McMahon, Peter L.	54.49363	Inspect abstract/publisher page before citing this paper as support.
S016	16	Optical neural networks using less than one photon per multiplication demonstrate low-light optical inference	Optical neural networks using less than one photon per multiplication demonstrate low-light optical inference	(Wang et al., 2022) (Zarei et al., 2022)	(Zarei et al., 2022)	metadata-only candidate	Realization of optical logic gates using on-chip diffractive optical neural networks	Scientific Reports	Nature Portfolio	2022	10.1038/s41598-022-19973-0	https://doi.org/10.1038/s41598-022-19973-0	Zarei, Sanaz; Khavasi, Amin	30.198011	Inspect abstract/publisher page before citing this paper as support.
S016	16	Optical neural networks using less than one photon per multiplication demonstrate low-light optical inference	Optical neural networks using less than one photon per multiplication demonstrate low-light optical inference	(Wang et al., 2022) (Zarei et al., 2022)	(He et al., 2026)	metadata-only candidate	Orbital angular momentum multiplexing diffractive neural networks for high-capacity optical inference	Nature Photonics	Nature Portfolio	2026	10.1038/s41566-026-01930-2	https://doi.org/10.1038/s41566-026-01930-2	He, Cong; Li, Xin; Wang, Hongbo; Li, Jiaqin; Zhang, Zian; Liu, Shendong; Jiang, Qiang; Zhang, Nan; Wang, Yongtian; Huang, Lingling	29.960112	Inspect abstract/publisher page before citing this paper as support.
S017	17	Delocalized photonic deep learning streams weights to low-storage photonic edge receivers	Delocalized photonic deep learning streams weights to low-storage photonic edge receivers	(Leonetti et al., 2024) (Zhou et al., 2025)	(Leonetti et al., 2024)	metadata-only candidate	Photonic Stochastic Emergent Storage for deep classification by scattering-intrinsic patterns	Nature Communications	Nature Portfolio	2024	10.1038/s41467-023-44498-z	https://doi.org/10.1038/s41467-023-44498-z	Leonetti, Marco; Gosti, Giorgio; Ruocco, Giancarlo	28.330898	Inspect abstract/publisher page before citing this paper as support.
S017	17	Delocalized photonic deep learning streams weights to low-storage photonic edge receivers	Delocalized photonic deep learning streams weights to low-storage photonic edge receivers	(Leonetti et al., 2024) (Zhou et al., 2025)	(Zhou et al., 2025)	metadata-only candidate	Hundred-layer photonic deep learning	Nature Communications	Nature Portfolio	2025	10.1038/s41467-025-65356-0	https://doi.org/10.1038/s41467-025-65356-0	Zhou, Tiankuang; Jiang, Yizhou; Xu, Zhihao; Xue, Zhiwei; Fang, Lu	27.19662	Inspect abstract/publisher page before citing this paper as support.
S017	17	Delocalized photonic deep learning streams weights to low-storage photonic edge receivers	Delocalized photonic deep learning streams weights to low-storage photonic edge receivers	(Leonetti et al., 2024) (Zhou et al., 2025)	(Katumba et al., 2018)	metadata-only candidate	Low-Loss Photonic Reservoir Computing with Multimode Photonic Integrated Circuits	Scientific Reports	Nature Portfolio	2018	10.1038/s41598-018-21011-x	https://doi.org/10.1038/s41598-018-21011-x	Katumba, Andrew; Heyvaert, Jelle; Schneider, Bendix; Uvin, Sarah; Dambre, Joni; Bienstman, Peter	25.451077	Inspect abstract/publisher page before citing this paper as support.
S018	18	Numerical simulation runtime of a wave propagation program does not establish physical optical latency or energy efficiency	Numerical simulation runtime of a wave propagation program does not establish physical optical latency or energy efficiency			no candidate									No in-scope candidate found in Crossref metadata search.
S019	19	Parameter count alone cannot establish energy efficiency or throughput of an edge inference device	Parameter count alone cannot establish energy efficiency or throughput of an edge inference device	(Das et al., 2026)	(Das et al., 2026)	metadata-only candidate	High-throughput parameter estimation from experimental data using Bayesian Inference with accelerated sampling	npj Computational Materials	Nature Portfolio	2026	10.1038/s41524-026-01995-1	https://doi.org/10.1038/s41524-026-01995-1	Das, Basita; Heymann, William E.; Wang, Yueming; Rau, Uwe; Kirchartz, Thomas; Buonassisi, Tonio	20.870401	Inspect abstract/publisher page before citing this paper as support.
